infProb,recProb,numvert,degrees,iteration,totalinf,newinf,newrec
0.25,0.75,500,16,11,354,0,0
0.25,0.75,500,16,12,354,0,0
0.25,0.75,500,16,13,354,0,0
0.25,0.75,500,16,14,354,0,0
0.25,0.75,500,16,15,354,0,0
0.25,0.75,500,16,16,354,0,0
0.25,0.75,500,16,17,354,0,0
0.25,0.75,500,16,18,354,0,0
0.5,0.25,500,16,1,30,25,1
0.5,0.25,500,16,2,207,177,11
0.5,0.25,500,16,3,377,170,47
0.5,0.25,500,16,4,418,41,85
0.5,0.25,500,16,5,428,10,67
0.5,0.25,500,16,6,430,2,69
0.5,0.25,500,16,7,431,1,48
0.5,0.25,500,16,8,431,0,25
0.5,0.25,500,16,9,431,0,15
0.5,0.25,500,16,10,431,0,13
0.5,0.25,500,16,11,431,0,9
0.5,0.25,500,16,12,431,0,15
0.5,0.25,500,16,13,431,0,5
0.5,0.25,500,16,14,431,0,9
0.5,0.25,500,16,15,431,0,3
0.5,0.25,500,16,16,431,0,1
0.5,0.25,500,16,17,431,0,4
0.5,0.25,500,16,18,431,0,0
0.5,0.25,500,16,19,431,0,0
0.5,0.25,500,16,20,431,0,1
0.5,0.25,500,16,21,431,0,0
0.5,0.25,500,16,22,431,0,2
0.5,0.25,500,16,23,431,0,0
0.5,0.25,500,16,24,431,0,0
0.5,0.25,500,16,25,431,0,0
0.5,0.25,500,16,26,431,0,0
0.5,0.25,500,16,27,431,0,1
0.5,0.25,500,16,28,431,0,0
0.5,0.25,500,16,29,431,0,0
0.5,0.25,500,16,30,431,0,0
0.5,0.25,500,16,31,431,0,0
0.5,0.25,500,16,32,431,0,0
0.5,0.25,500,16,33,431,0,0
0.5,0.25,500,16,34,431,0,0
0.5,0.25,500,16,35,431,0,0
0.5,0.25,500,16,36,431,0,0
0.5,0.5,500,16,1,26,21,2
0.5,0.5,500,16,2,200,174,8
0.5,0.5,500,16,3,371,171,106
0.5,0.5,500,16,4,407,36,132
0.5,0.5,500,16,5,417,10,73
0.5,0.5,500,16,6,417,0,43
0.5,0.5,500,16,7,419,2,18
0.5,0.5,500,16,8,419,0,19
0.5,0.5,500,16,9,419,0,9
0.5,0.5,500,16,10,419,0,7
0.5,0.5,500,16,11,419,0,1
0.5,0.5,500,16,12,419,0,0
0.5,0.5,500,16,13,419,0,1
0.5,0.5,500,16,14,419,0,0
0.5,0.5,500,16,15,419,0,0
0.5,0.5,500,16,16,419,0,0
0.5,0.5,500,16,17,419,0,0
0.5,0.5,500,16,18,419,0,0
0.5,0.5,500,16,19,419,0,0
0.5,0.5,500,16,20,419,0,0
0.5,0.5,500,16,21,419,0,0
0.5,0.5,500,16,22,419,0,0
0.5,0.75,500,16,1,31,26,5
0.5,0.75,500,16,2,216,185,22
0.5,0.75,500,16,3,371,155,148
0.5,0.75,500,16,4,401,30,139
0.5,0.75,500,16,5,405,4,66
0.5,0.75,500,16,6,405,0,20
0.5,0.75,500,16,7,405,0,3
0.5,0.75,500,16,8,405,0,2
0.5,0.75,500,16,9,405,0,0
0.5,0.75,500,16,10,405,0,0
0.5,0.75,500,16,11,405,0,0
0.5,0.75,500,16,12,405,0,0
0.5,0.75,500,16,13,405,0,0
0.5,0.75,500,16,14,405,0,0
0.5,0.75,500,16,15,405,0,0
0.5,0.75,500,16,16,405,0,0
0.5,0.75,500,16,17,405,0,0
0.75,0.25,500,16,1,44,39,1
0.75,0.25,500,16,2,304,260,11
0.75,0.25,500,16,3,416,112,81
0.75,0.25,500,16,4,431,15,88
0.75,0.25,500,16,5,438,7,66
0.75,0.25,500,16,6,439,1,60
0.75,0.25,500,16,7,439,0,31
0.75,0.25,500,16,8,439,0,26
0.75,0.25,500,16,9,439,0,13
0.75,0.25,500,16,10,439,0,13
0.75,0.25,500,16,11,439,0,8
0.75,0.25,500,16,12,439,0,10
0.75,0.25,500,16,13,439,0,7
0.75,0.25,500,16,14,439,0,7
0.75,0.25,500,16,15,439,0,6
0.75,0.25,500,16,16,439,0,2
0.75,0.25,500,16,17,439,0,3
0.75,0.25,500,16,18,439,0,2
0.75,0.25,500,16,19,439,0,0
0.75,0.25,500,16,20,439,0,2
0.75,0.25,500,16,21,439,0,0
0.75,0.25,500,16,22,439,0,0
0.75,0.25,500,16,23,439,0,1
0.75,0.25,500,16,24,439,0,0
0.75,0.25,500,16,25,439,0,0
0.75,0.25,500,16,26,439,0,0
0.75,0.25,500,16,27,439,0,0
0.75,0.25,500,16,28,439,0,0
0.75,0.25,500,16,29,439,0,0
0.75,0.25,500,16,30,439,0,0
0.75,0.25,500,16,31,439,0,1
0.75,0.25,500,16,32,439,0,0
0.75,0.25,500,16,33,439,0,0
0.75,0.25,500,16,34,439,0,0
0.75,0.25,500,16,35,439,0,0
0.75,0.25,500,16,36,439,0,0
0.75,0.25,500,16,37,439,0,0
0.75,0.25,500,16,38,439,0,0
0.75,0.25,500,16,39,439,0,0
0.75,0.25,500,16,40,439,0,0
0.75,0.5,500,16,1,50,45,4
0.75,0.5,500,16,2,319,269,25
0.75,0.5,500,16,3,417,98,132
0.75,0.5,500,16,4,428,11,129
0.75,0.5,500,16,5,429,1,72
0.75,0.5,500,16,6,430,1,31
0.75,0.5,500,16,7,430,0,19
0.75,0.5,500,16,8,430,0,10
0.75,0.5,500,16,9,430,0,3
0.75,0.5,500,16,10,430,0,3
0.75,0.5,500,16,11,430,0,1
0.75,0.5,500,16,12,430,0,1
0.75,0.5,500,16,13,430,0,0
0.75,0.5,500,16,14,430,0,0
0.75,0.5,500,16,15,430,0,0
0.75,0.5,500,16,16,430,0,0
0.75,0.5,500,16,17,430,0,0
0.75,0.5,500,16,18,430,0,0
0.75,0.5,500,16,19,430,0,0
0.75,0.5,500,16,20,430,0,0
0.75,0.5,500,16,21,430,0,0
0.75,0.75,500,16,1,29,24,5
0.75,0.75,500,16,2,222,193,19
0.75,0.75,500,16,3,411,189,141
0.75,0.75,500,16,4,428,17,193
0.75,0.75,500,16,5,430,2,55
0.75,0.75,500,16,6,430,0,14
0.75,0.75,500,16,7,430,0,3
0.75,0.75,500,16,8,430,0,0
0.75,0.75,500,16,9,430,0,0
0.75,0.75,500,16,10,430,0,0
0.75,0.75,500,16,11,430,0,0
0.75,0.75,500,16,12,430,0,0
0.75,0.75,500,16,13,430,0,0
0.75,0.75,500,16,14,430,0,0
0.75,0.75,500,16,15,430,0,0
0.75,0.75,500,16,16,430,0,0
0.25,0.25,5000,2,1,6,1,2
0.25,0.25,5000,2,2,9,3,0
0.25,0.25,5000,2,3,16,7,2
0.25,0.25,5000,2,4,31,15,5
0.25,0.25,5000,2,5,146,115,6
0.25,0.25,5000,2,6,358,212,37
0.25,0.25,5000,2,7,677,319,67
0.25,0.25,5000,2,8,960,283,145
0.25,0.25,5000,2,9,1161,201,157
0.25,0.25,5000,2,10,1301,140,185
0.25,0.25,5000,2,11,1397,96,175
0.25,0.25,5000,2,12,1466,69,139
0.25,0.25,5000,2,13,1514,48,121
0.25,0.25,5000,2,14,1545,31,118
0.25,0.25,5000,2,15,1567,22,96
0.25,0.25,5000,2,16,1574,7,72
0.25,0.25,5000,2,17,1579,5,60
0.25,0.25,5000,2,18,1586,7,51
0.25,0.25,5000,2,19,1588,2,24
0.25,0.25,5000,2,20,1589,1,26
0.25,0.25,5000,2,21,1591,2,19
0.25,0.25,5000,2,22,1594,3,25
0.25,0.25,5000,2,23,1594,0,8
0.25,0.25,5000,2,24,1594,0,10
0.25,0.25,5000,2,25,1594,0,10
0.25,0.25,5000,2,26,1594,0,12
0.25,0.25,5000,2,27,1594,0,7
0.25,0.25,5000,2,28,1594,0,5
0.25,0.25,5000,2,29,1594,0,2
0.25,0.25,5000,2,30,1594,0,1
0.25,0.25,5000,2,31,1594,0,2
0.25,0.25,5000,2,32,1594,0,0
0.25,0.25,5000,2,33,1594,0,0
