generator,graph_id,config,method,khop,time
Erdos Renyi,e17,5,adjmat,3,0.087963965
Erdos Renyi,e17,5,adjmat,4,2.12191182
Erdos Renyi,e18,5,adjmat,2,0.005297841
Erdos Renyi,e18,5,adjmat,3,0.08772783
Erdos Renyi,e18,5,adjmat,4,2.116685095
Erdos Renyi,e19,6,adjmat,2,0.001863152
Erdos Renyi,e19,6,adjmat,3,0.001845211
Erdos Renyi,e19,6,adjmat,4,0.005633331
Erdos Renyi,e20,6,adjmat,2,0.002010017
Erdos Renyi,e20,6,adjmat,3,0.001964573
Erdos Renyi,e20,6,adjmat,4,0.005905588
Erdos Renyi,e21,6,adjmat,2,0.001737379
Erdos Renyi,e21,6,adjmat,3,0.002249581
Erdos Renyi,e21,6,adjmat,4,0.005223427
Erdos Renyi,e22,7,adjmat,2,0.003481525
Erdos Renyi,e22,7,adjmat,3,0.021977906
Erdos Renyi,e22,7,adjmat,4,0.231025937
Erdos Renyi,e23,7,adjmat,2,0.003328628
Erdos Renyi,e23,7,adjmat,3,0.022360761
Erdos Renyi,e23,7,adjmat,4,0.269601345
Erdos Renyi,e17,5,incmat,2,0.033966727
Erdos Renyi,e17,5,incmat,3,0.626391893
Erdos Renyi,e17,5,incmat,4,10.81134825
Erdos Renyi,e18,5,incmat,2,0.034026571
Erdos Renyi,e18,5,incmat,3,0.638413052
Erdos Renyi,e18,5,incmat,4,11.70780505
Erdos Renyi,e19,6,incmat,2,0.001957713
Erdos Renyi,e19,6,incmat,3,0.003671658
Erdos Renyi,e19,6,incmat,4,0.013292113
Erdos Renyi,e20,6,incmat,2,0.001971294
Erdos Renyi,e20,6,incmat,3,0.004597974
Erdos Renyi,e20,6,incmat,4,0.012170614
Erdos Renyi,e21,6,incmat,2,0.001875076
Erdos Renyi,e21,6,incmat,3,0.00376156
Erdos Renyi,e21,6,incmat,4,0.011494549
Erdos Renyi,e22,7,incmat,2,0.018039095
Erdos Renyi,e22,7,incmat,3,0.156650468
Erdos Renyi,e22,7,incmat,4,1.521999773
Erdos Renyi,e23,7,incmat,2,0.018166989
Erdos Renyi,e23,7,incmat,3,0.142044771
Erdos Renyi,e23,7,incmat,4,1.363892051
Scale Free,e17,5,adjlist,2,0.003738937
Scale Free,e17,5,adjlist,3,0.660901562
Scale Free,e17,5,adjlist,4,28.82050058
Scale Free,e18,5,adjlist,2,0.004902273
Scale Free,e18,5,adjlist,3,0.29517676
Scale Free,e18,5,adjlist,4,17.05028459
Scale Free,e19,6,adjlist,2,1.24E-04
Scale Free,e19,6,adjlist,3,0.003111051
Scale Free,e19,6,adjlist,4,0.058952841
Scale Free,e20,6,adjlist,2,1.19E-04
Scale Free,e20,6,adjlist,3,0.001730314
Scale Free,e20,6,adjlist,4,0.057988564
Scale Free,e21,6,adjlist,2,5.79E-05
Scale Free,e21,6,adjlist,3,0.003132851
Scale Free,e21,6,adjlist,4,0.034127632
Scale Free,e22,7,adjlist,2,8.87E-04
Scale Free,e22,7,adjlist,3,0.204912512
Scale Free,e22,7,adjlist,4,11.38933436
Scale Free,e23,7,adjlist,2,4.22E-04
Scale Free,e23,7,adjlist,3,0.189607215
Scale Free,e23,7,adjlist,4,8.635611227
Scale Free,e17,5,adjmat,2,0.007704403
Scale Free,e17,5,adjmat,3,0.62593635
Scale Free,e17,5,adjmat,4,62.06227782
Scale Free,e18,5,adjmat,2,0.005914037
Scale Free,e18,5,adjmat,3,0.449174918
Scale Free,e18,5,adjmat,4,31.6663431
Scale Free,e19,6,adjmat,2,0.002411708
Scale Free,e19,6,adjmat,3,0.004961063
Scale Free,e19,6,adjmat,4,0.180824931
Scale Free,e20,6,adjmat,2,0.001888433
Scale Free,e20,6,adjmat,3,0.009861105
Scale Free,e20,6,adjmat,4,0.753510904
Scale Free,e21,6,adjmat,2,0.001541783
Scale Free,e21,6,adjmat,3,0.01391281
Scale Free,e21,6,adjmat,4,0.240736456
Scale Free,e22,7,adjmat,2,0.004611319
Scale Free,e22,7,adjmat,3,0.472706939
Scale Free,e22,7,adjmat,4,6.672537473
Scale Free,e23,7,adjmat,2,0.004355989
Scale Free,e23,7,adjmat,3,0.180767567
